state,year,sex,pluarlity,age,births
Arkansas,2016,Male,Single,Under 15 years,22
Arkansas,2016,Male,Single,15-19 years,1713
Arkansas,2016,Male,Single,20-24 years,5607
Arkansas,2016,Male,Single,25-29 years,5946
Arkansas,2016,Male,Single,30-34 years,4020
Arkansas,2016,Male,Single,35-39 years,1599
Arkansas,2016,Male,Single,40-44 years,292
Arkansas,2016,Male,Single,45-49 years,12
Arkansas,2016,Male,Twin,15-19 years,20
Arkansas,2016,Male,Twin,20-24 years,130
Arkansas,2016,Male,Twin,25-29 years,192
Arkansas,2016,Male,Twin,30-34 years,118
Arkansas,2016,Male,Twin,35-39 years,81
Arkansas,2016,Male,Twin,40-44 years,10
Arkansas,2017,Female,Single,Under 15 years,21
Arkansas,2017,Female,Single,15-19 years,1583
Arkansas,2017,Female,Single,20-24 years,5102
Arkansas,2017,Female,Single,25-29 years,5526
Arkansas,2017,Female,Single,30-34 years,3790
Arkansas,2017,Female,Single,35-39 years,1486
Arkansas,2017,Female,Single,40-44 years,289
Arkansas,2017,Female,Single,45-49 years,13
Arkansas,2017,Female,Twin,15-19 years,27
Arkansas,2017,Female,Twin,20-24 years,133
Arkansas,2017,Female,Twin,25-29 years,202
Arkansas,2017,Female,Twin,30-34 years,144
Arkansas,2017,Female,Twin,35-39 years,61
Arkansas,2017,Male,Single,Under 15 years,28
Arkansas,2017,Male,Single,15-19 years,1547
Arkansas,2017,Male,Single,20-24 years,5333
Arkansas,2017,Male,Single,25-29 years,5797
Arkansas,2017,Male,Single,30-34 years,3961
Arkansas,2017,Male,Single,35-39 years,1524
Arkansas,2017,Male,Single,40-44 years,290
Arkansas,2017,Male,Single,45-49 years,15
Arkansas,2017,Male,Twin,15-19 years,21
Arkansas,2017,Male,Twin,20-24 years,140
Arkansas,2017,Male,Twin,25-29 years,203
Arkansas,2017,Male,Twin,30-34 years,168
Arkansas,2017,Male,Twin,35-39 years,75
Arkansas,2017,Male,Twin,40-44 years,13
Arkansas,2018,Female,Single,Under 15 years,11
Arkansas,2018,Female,Single,15-19 years,1396
Arkansas,2018,Female,Single,20-24 years,5018
Arkansas,2018,Female,Single,25-29 years,5571
Arkansas,2018,Female,Single,30-34 years,3725
Arkansas,2018,Female,Single,35-39 years,1572
Arkansas,2018,Female,Single,40-44 years,295
Arkansas,2018,Female,Single,45-49 years,11
Arkansas,2018,Female,Twin,15-19 years,30
Arkansas,2018,Female,Twin,20-24 years,109
Arkansas,2018,Female,Twin,25-29 years,208
Arkansas,2018,Female,Twin,30-34 years,150
Arkansas,2018,Female,Twin,35-39 years,59
Arkansas,2018,Male,Single,Under 15 years,16
Arkansas,2018,Male,Single,15-19 years,1472
Arkansas,2018,Male,Single,20-24 years,5285
Arkansas,2018,Male,Single,25-29 years,5560
Arkansas,2018,Male,Single,30-34 years,3954
Arkansas,2018,Male,Single,35-39 years,1657
Arkansas,2018,Male,Single,40-44 years,296
Arkansas,2018,Male,Single,45-49 years,14
Arkansas,2018,Male,Twin,15-19 years,30
Arkansas,2018,Male,Twin,20-24 years,128
Arkansas,2018,Male,Twin,25-29 years,173
Arkansas,2018,Male,Twin,30-34 years,135
Arkansas,2018,Male,Twin,35-39 years,81
Arkansas,2019,Female,Single,Under 15 years,19
Arkansas,2019,Female,Single,15-19 years,1377
Arkansas,2019,Female,Single,20-24 years,4870
Arkansas,2019,Female,Single,25-29 years,5393
Arkansas,2019,Female,Single,30-34 years,3669
Arkansas,2019,Female,Single,35-39 years,1606
Arkansas,2019,Female,Single,40-44 years,274
Arkansas,2019,Female,Single,45-49 years,12
Arkansas,2019,Female,Twin,15-19 years,24
Arkansas,2019,Female,Twin,20-24 years,135
Arkansas,2019,Female,Twin,25-29 years,181
Arkansas,2019,Female,Twin,30-34 years,151
Arkansas,2019,Female,Twin,35-39 years,66
Arkansas,2019,Female,Twin,40-44 years,13
Arkansas,2019,Male,Single,15-19 years,1454
Arkansas,2019,Male,Single,20-24 years,5172
Arkansas,2019,Male,Single,25-29 years,5551
Arkansas,2019,Male,Single,30-34 years,3964
Arkansas,2019,Male,Single,35-39 years,1658
Arkansas,2019,Male,Single,40-44 years,313
Arkansas,2019,Male,Twin,15-19 years,27
Arkansas,2019,Male,Twin,20-24 years,171
Arkansas,2019,Male,Twin,25-29 years,191
Arkansas,2019,Male,Twin,30-34 years,142
Arkansas,2019,Male,Twin,35-39 years,69
Arkansas,2019,Male,Twin,40-44 years,22
California,2016,Female,Single,Under 15 years,87
California,2016,Female,Single,15-19 years,10322
California,2016,Female,Single,20-24 years,40093
California,2016,Female,Single,25-29 years,61583
California,2016,Female,Single,30-34 years,68968
California,2016,Female,Single,35-39 years,39749
California,2016,Female,Single,40-44 years,9244
California,2016,Female,Single,45-49 years,696
California,2016,Female,Single,50 years and over,68
California,2016,Female,Twin,15-19 years,154
California,2016,Female,Twin,20-24 years,805
California,2016,Female,Twin,25-29 years,1723
California,2016,Female,Twin,30-34 years,2298
California,2016,Female,Twin,35-39 years,1731
California,2016,Female,Twin,40-44 years,487
California,2016,Female,Twin,45-49 years,148
California,2016,Female,Twin,50 years and over,38
California,2016,Female,Triplet,20-24 years,14
California,2016,Female,Triplet,25-29 years,55
California,2016,Female,Triplet,30-34 years,64
California,2016,Female,Triplet,35-39 years,42
California,2016,Female,Triplet,40-44 years,29
California,2016,Male,Single,Under 15 years,102
California,2016,Male,Single,15-19 years,10788
California,2016,Male,Single,20-24 years,41911
California,2016,Male,Single,25-29 years,65006
California,2016,Male,Single,30-34 years,73065
California,2016,Male,Single,35-39 years,41338
California,2016,Male,Single,40-44 years,9540
California,2016,Male,Single,45-49 years,694
California,2016,Male,Single,50 years and over,76
California,2016,Male,Twin,15-19 years,145
California,2016,Male,Twin,20-24 years,841
California,2016,Male,Twin,25-29 years,1636
California,2016,Male,Twin,30-34 years,2516
California,2016,Male,Twin,35-39 years,1804
California,2016,Male,Twin,40-44 years,523
California,2016,Male,Twin,45-49 years,169
California,2016,Male,Twin,50 years and over,44
California,2016,Male,Triplet,25-29 years,41
California,2016,Male,Triplet,30-34 years,80
California,2016,Male,Triplet,35-39 years,52
California,2016,Male,Triplet,40-44 years,26
California,2017,Female,Single,Under 15 years,80
California,2017,Female,Single,15-19 years,9070
California,2017,Female,Single,20-24 years,37019
California,2017,Female,Single,25-29 years,59213
California,2017,Female,Single,30-34 years,66857
California,2017,Female,Single,35-39 years,39972
California,2017,Female,Single,40-44 years,9401
California,2017,Female,Single,45-49 years,661
California,2017,Female,Single,50 years and over,81
California,2017,Female,Twin,15-19 years,149
California,2017,Female,Twin,20-24 years,801
California,2017,Female,Twin,25-29 years,1564
California,2017,Female,Twin,30-34 years,2356
California,2017,Female,Twin,35-39 years,1647
California,2017,Female,Twin,40-44 years,532
California,2017,Female,Twin,45-49 years,138
California,2017,Female,Twin,50 years and over,35
California,2017,Female,Triplet,20-24 years,10
California,2017,Female,Triplet,25-29 years,38
California,2017,Female,Triplet,30-34 years,65
California,2017,Female,Triplet,35-39 years,43
California,2017,Female,Triplet,40-44 years,19
California,2017,Male,Single,Under 15 years,70
California,2017,Male,Single,15-19 years,9580
California,2017,Male,Single,20-24 years,38804
California,2017,Male,Single,25-29 years,62487
California,2017,Male,Single,30-34 years,70705
California,2017,Male,Single,35-39 years,42082
California,2017,Male,Single,40-44 years,9823
California,2017,Male,Single,45-49 years,801
California,2017,Male,Single,50 years and over,76
California,2017,Male,Twin,15-19 years,136
California,2017,Male,Twin,20-24 years,762
California,2017,Male,Twin,25-29 years,1572
California,2017,Male,Twin,30-34 years,2361
California,2017,Male,Twin,35-39 years,1756
California,2017,Male,Twin,40-44 years,479
California,2017,Male,Twin,45-49 years,156
California,2017,Male,Twin,50 years and over,49
California,2017,Male,Triplet,25-29 years,46
California,2017,Male,Triplet,30-34 years,63
California,2017,Male,Triplet,35-39 years,60
California,2017,Male,Triplet,40-44 years,17
California,2018,Female,Single,Under 15 years,60
California,2018,Female,Single,15-19 years,8170
California,2018,Female,Single,20-24 years,34038
California,2018,Female,Single,25-29 years,56702
California,2018,Female,Single,30-34 years,66026
California,2018,Female,Single,35-39 years,40342
California,2018,Female,Single,40-44 years,9212
California,2018,Female,Single,45-49 years,740
California,2018,Female,Single,50 years and over,99
California,2018,Female,Twin,15-19 years,159
California,2018,Female,Twin,20-24 years,683
California,2018,Female,Twin,25-29 years,1531
California,2018,Female,Twin,30-34 years,2206
California,2018,Female,Twin,35-39 years,1752
California,2018,Female,Twin,40-44 years,469
California,2018,Female,Twin,45-49 years,123
California,2018,Female,Twin,50 years and over,35
California,2018,Female,Triplet,25-29 years,24
California,2018,Female,Triplet,30-34 years,58
California,2018,Female,Triplet,35-39 years,60
California,2018,Female,Triplet,40-44 years,14
California,2018,Male,Single,Under 15 years,68
California,2018,Male,Single,15-19 years,8449
California,2018,Male,Single,20-24 years,35237
California,2018,Male,Single,25-29 years,59141
California,2018,Male,Single,30-34 years,69102
California,2018,Male,Single,35-39 years,42505
California,2018,Male,Single,40-44 years,9888
California,2018,Male,Single,45-49 years,816
California,2018,Male,Single,50 years and over,104
California,2018,Male,Twin,15-19 years,142
California,2018,Male,Twin,20-24 years,604
California,2018,Male,Twin,25-29 years,1540
California,2018,Male,Twin,30-34 years,2225
California,2018,Male,Twin,35-39 years,1758
California,2018,Male,Twin,40-44 years,451
California,2018,Male,Twin,45-49 years,135
California,2018,Male,Twin,50 years and over,36
California,2018,Male,Triplet,20-24 years,20
California,2018,Male,Triplet,25-29 years,19
California,2018,Male,Triplet,30-34 years,55
California,2018,Male,Triplet,35-39 years,42
California,2018,Male,Triplet,40-44 years,20
California,2019,Female,Single,Under 15 years,53
California,2019,Female,Single,15-19 years,7284
California,2019,Female,Single,20-24 years,31883
California,2019,Female,Single,25-29 years,54995
California,2019,Female,Single,30-34 years,65399
California,2019,Female,Single,35-39 years,40491
California,2019,Female,Single,40-44 years,9404
California,2019,Female,Single,45-49 years,783
California,2019,Female,Single,50 years and over,103
California,2019,Female,Twin,15-19 years,127
California,2019,Female,Twin,20-24 years,624
California,2019,Female,Twin,25-29 years,1517
California,2019,Female,Twin,30-34 years,2132
California,2019,Female,Twin,35-39 years,1715
California,2019,Female,Twin,40-44 years,448
California,2019,Female,Twin,45-49 years,131
California,2019,Female,Twin,50 years and over,29
California,2019,Female,Triplet,25-29 years,13
California,2019,Female,Triplet,30-34 years,61
California,2019,Female,Triplet,35-39 years,56
California,2019,Male,Single,Under 15 years,69
California,2019,Male,Single,15-19 years,7847
California,2019,Male,Single,20-24 years,33543
California,2019,Male,Single,25-29 years,57797
California,2019,Male,Single,30-34 years,68721
California,2019,Male,Single,35-39 years,43101
California,2019,Male,Single,40-44 years,10032
California,2019,Male,Single,45-49 years,829
California,2019,Male,Single,50 years and over,134
California,2019,Male,Twin,15-19 years,95
California,2019,Male,Twin,20-24 years,726
California,2019,Male,Twin,25-29 years,1475
California,2019,Male,Twin,30-34 years,2322
California,2019,Male,Twin,35-39 years,1693
California,2019,Male,Twin,40-44 years,506
California,2019,Male,Twin,45-49 years,116
California,2019,Male,Twin,50 years and over,41
California,2019,Male,Triplet,25-29 years,29
California,2019,Male,Triplet,30-34 years,53
California,2019,Male,Triplet,35-39 years,44
California,2019,Male,Triplet,40-44 years,10
Colorado,2016,Female,Single,Under 15 years,23
Colorado,2016,Female,Single,15-19 years,1470
Colorado,2016,Female,Single,20-24 years,5640
Colorado,2016,Female,Single,25-29 years,8800
